total_supply,name,tvl_ratio,cmc_rank,quote_USD_market_cap,quote_USD_volume_change_24h,quote_USD_percent_change_60d,quote_USD_percent_change_1h,symbol,quote_USD_fully_diluted_market_cap,quote_USD_last_updated,is_active,quote_USD_percent_change_24h,quote_USD_market_cap_dominance,quote_USD_tvl,id,slug,self_reported_market_cap,num_market_pairs,infinite_supply,quote_USD_volume_24h,date_added,last_updated,tags,quote_USD_percent_change_7d,max_supply,circulating_supply,quote_USD_price,quote_USD_percent_change_90d,self_reported_circulating_supply,quote_USD_percent_change_30d,is_fiat,platform
59828193.81149199,Zetacoin,,9340,0,0,1.6991158,0,ZET,59082.51,2025-02-18T22:31:00.000Z,1,0,0,,56,zetacoin,,1,False,0,2013-09-11T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}",0,,0,0.0009875362767316751,4.86975519,,0.29822173,0,
6433865.577794,TagCoin,,9341,0,0,-34.03880038,0,TAG,41209.41,2025-02-18T22:31:00.000Z,1,0,0,,61,tagcoin,41209.41122243214,2,False,0,2013-11-05T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'hybrid-pow-pos', 'name': 'Hybrid - PoW & PoS', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",0,,0,0.006405078055199554,-71.65931253,6433865.577794,-34.94740861,0,
998999941.50769,Nxt,,9342,0,0,-7.49178466,-0.03744324,NXT,857630.31,2025-02-18T22:31:00.000Z,1,-7.21898058,0,,66,nxt,,13,False,0,2013-12-04T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'hybrid-pos-lpos', 'name': 'Hybrid - PoS & LPoS', 'category': 'ALGORITHM'}; {'slug': 'pos', 'name': 'PoS', 'category': 'ALGORITHM'}; {'slug': 'platform', 'name': 'Platform', 'category': 'CATEGORY'}; {'slug': 'enterprise-solutions', 'name': 'Enterprise Solutions', 'category': 'INDUSTRY'}; {'slug': 'state-channel', 'name': 'State Channel', 'category': 'CATEGORY'}",-6.5320187,1000000000,0,0.00085763030626,-19.73119333,,-17.36899811,0,
210241.00151896,Unobtanium,,7274,0,-25.2478,-31.04017374,0.2565511,UNO,1302864.39,2025-02-18T22:31:00.000Z,1,-30.71584225,0,,67,unobtanium,,10,False,211.02047276,2013-12-21T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}; {'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'payments', 'name': 'Payments', 'category': 'INDUSTRY'}",-24.23299517,,0,6.197004305693604,-6.20783848,,-29.8323339,0,
165212394.88051617,Deutsche eMark,,2148,603418.207171861,4168.8736,-1.81181661,0.2565511,DEM,630044.26,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,72,deutsche-emark,,5,False,299.09140336,2013-12-15T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'hybrid-pow-pos', 'name': 'Hybrid - PoW & PoS', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}",-0.9200706,,158230418.80951616,0.003813541111196065,34.67592424,,-26.59382623,0,
148102216383.70523,Dogecoin,,8,37010548422.49515,16.4528,-21.09076688,0.29404294,DOGE,37010548422.5,2025-02-18T22:31:00.000Z,1,-3.94658089,1.1838,,74,dogecoin,,1163,True,1604048169.456092,2013-12-15T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}; {'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'memes', 'name': 'Memes', 'category': 'INDUSTRY'}; {'slug': 'payments', 'name': 'Payments', 'category': 'INDUSTRY'}; {'slug': 'doggone-doggerel', 'name': 'Doggone Doggerel', 'category': 'CATEGORY'}; {'slug': 'ftx-bankruptcy-estate', 'name': 'FTX Bankruptcy Estate ', 'category': 'CATEGORY'}; {'slug': 'made-in-america', 'name': 'Made in America', 'category': 'CATEGORY'}",-2.16470371,,148102216383.70523,0.24989868029123696,-34.16214271,,-32.8309415,0,
3851738.49897768,Diamond,,1266,6154897.253820979,-21.3049,-52.20296016,1.38261963,DMD,6999034.33,2025-02-18T22:31:00.000Z,1,1.51333122,0,,77,diamond,,11,False,22005.52880321,2013-12-19T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'masternodes', 'name': 'Masternodes', 'category': 'CATEGORY'}; {'slug': 'staking', 'name': 'Staking', 'category': 'CATEGORY'}",2.18979184,4380000,3851738.49897768,1.5979530426207798,-69.86531757,,-4.62990175,0,
64151405,HoboNickels,,8380,0,-61.8266,-1.81181661,0.2565511,HBN,114406.23,2025-02-18T22:31:00.000Z,1,-50.43517946,0,,78,hobonickels,,1,False,19.08173993,2013-12-20T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'hybrid-pow-pos', 'name': 'Hybrid - PoW & PoS', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",-9.04853499,120000000,0,0.0009533852777990163,1.00694318,,-3.48867273,0,
619458.72423078,Omni,,7480,0,0,3.73134328,0,OMNI,861047.63,2025-02-18T22:31:00.000Z,1,0,0,,83,omni,,3,False,139.65037572,2013-12-24T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",0,,0,1.39,-6.7114094,,8.59375,0,
482759907611.124,FedoraCoin,,2361,338170.23889684735,711.3237,-37.77991587,-0.00044643,TIPS,769091.9,2025-02-18T22:31:00.000Z,1,-9.8570085,0,,87,fedoracoin,,2,False,848.76456863,2013-12-31T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}",-8.60774047,,212269865434.284,1.5931146807154334e-06,-50.31706866,,-30.2807874,0,
